iter	Passed	Remaining
301	1192	2757
302	1197	2754
303	1201	2750
304	1208	2752
305	1213	2751
306	1217	2748
307	1221	2745
308	1225	2740
309	1229	2736
310	1232	2730
311	1236	2727
312	1240	2722
313	1246	2723
314	1251	2722
315	1256	2719
316	1260	2716
317	1263	2710
318	1269	2710
319	1276	2711
320	1279	2706
321	1283	2702
322	1286	2696
323	1290	2693
324	1294	2688
325	1298	2683
326	1301	2678
327	1305	2673
328	1308	2669
329	1312	2663
330	1316	2660
331	1319	2654
332	1323	2650
333	1326	2645
334	1330	2640
335	1333	2635
336	1337	2631
337	1340	2625
338	1344	2622
339	1348	2616
340	1351	2612
341	1355	2608
342	1359	2603
343	1362	2599
344	1368	2597
345	1372	2593
346	1376	2591
347	1380	2586
348	1385	2583
349	1388	2579
350	1392	2574
351	1395	2569
352	1399	2565
353	1403	2560
354	1407	2556
355	1410	2551
356	1415	2548
357	1418	2543
358	1422	2540
359	1425	2535
360	1430	2532
361	1434	2527
362	1437	2523
363	1441	2518
364	1445	2514
365	1449	2510
366	1452	2506
367	1456	2500
368	1460	2497
369	1464	2493
370	1468	2489
371	1474	2489
372	1478	2485
373	1483	2483
374	1489	2482
375	1492	2477
376	1496	2473
377	1500	2468
378	1505	2466
379	1509	2462
380	1514	2459
381	1517	2454
382	1521	2451
383	1526	2448
384	1530	2444
385	1533	2439
386	1537	2435
387	1540	2430
388	1546	2428
389	1550	2425
390	1556	2424
391	1561	2422
392	1567	2420
393	1571	2416
394	1575	2413
395	1578	2407
396	1583	2405
397	1587	2400
398	1590	2396
399	1594	2391
400	1598	2387
401	1602	2383
402	1606	2380
403	1610	2376
404	1614	2371
405	1618	2367
406	1621	2363
407	1625	2359
408	1629	2354
409	1633	2350
410	1636	2345
411	1640	2340
412	1644	2336
413	1648	2333
414	1652	2329
415	1656	2324
416	1659	2319
417	1662	2315
418	1666	2311
419	1670	2306
420	1674	2302
421	1677	2297
422	1681	2293
423	1684	2288
424	1689	2285
425	1692	2280
426	1697	2277
427	1701	2273
428	1704	2269
429	1708	2265
430	1712	2260
431	1716	2256
432	1719	2252
433	1723	2247
434	1728	2244
435	1731	2240
436	1734	2235
437	1740	2233
438	1744	2228
439	1748	2225
440	1752	2221
441	1757	2218
442	1761	2214
443	1765	2210
444	1770	2207
445	1773	2202
446	1777	2198
447	1780	2194
448	1784	2189
449	1787	2184
450	1791	2180
451	1795	2176
452	1798	2172
453	1802	2168
454	1806	2163
455	1810	2159
456	1813	2155
457	1817	2151
458	1821	2146
459	1825	2142
460	1828	2137
461	1832	2134
462	1837	2130
463	1841	2126
464	1844	2122
465	1849	2119
466	1853	2115
467	1857	2111
468	1862	2108
469	1865	2103
470	1869	2099
471	1872	2095
472	1877	2091
473	1880	2087
474	1885	2083
475	1888	2078
476	1892	2074
477	1895	2070
478	1900	2066
479	1903	2062
480	1907	2058
481	1910	2053
482	1915	2049
483	1918	2045
484	1922	2041
485	1926	2037
486	1932	2035
487	1938	2033
488	1945	2033
489	1950	2030
490	1955	2027
491	1960	2024
492	1964	2020
493	1969	2016
494	1972	2012
495	1976	2008
496	1979	2003
497	1983	1999
498	1986	1994
499	1991	1991
500	1996	1988
501	2000	1984
502	2003	1979
503	2007	1976
504	2011	1971
505	2015	1967
506	2018	1962
507	2022	1958
508	2025	1954
509	2029	1950
510	2033	1945
511	2036	1941
512	2040	1936
513	2044	1932
514	2047	1928
515	2050	1923
516	2054	1918
517	2057	1914
518	2060	1910
519	2064	1905
520	2068	1901
521	2071	1896
522	2075	1892
523	2079	1888
524	2084	1885
525	2089	1883
526	2094	1879
527	2099	1876
528	2103	1873
529	2107	1868
530	2111	1864
531	2114	1860
532	2120	1857
533	2124	1854
534	2130	1851
535	2137	1850
536	2142	1847
537	2147	1844
538	2155	1843
539	2161	1841
540	2167	1838
541	2177	1840
542	2186	1840
543	2192	1837
544	2199	1836
545	2207	1835
546	2214	1834
547	2222	1833
548	2229	1831
549	2233	1827
550	2239	1824
551	2243	1820
552	2247	1816
553	2251	1812
554	2256	1809
555	2261	1806
556	2268	1804
557	2274	1801
558	2278	1797
559	2282	1793
560	2285	1788
561	2289	1784
562	2292	1779
563	2296	1775
564	2300	1771
565	2303	1766
566	2307	1761
567	2310	1757
568	2316	1754
569	2319	1750
570	2323	1745
571	2326	1741
572	2330	1736
573	2334	1732
574	2337	1727
575	2340	1723
576	2344	1718
577	2347	1713
578	2350	1709
579	2354	1704
580	2357	1700
581	2361	1696
582	2365	1691
583	2368	1687
584	2371	1682
585	2374	1677
586	2378	1673
587	2381	1668
588	2385	1664
589	2388	1659
590	2391	1655
591	2395	1650
592	2398	1646
593	2402	1641
594	2405	1637
595	2409	1633
596	2413	1628
597	2416	1624
598	2421	1620
599	2425	1616
600	2429	1613
601	2434	1609
602	2438	1605
603	2443	1601
604	2447	1597
605	2451	1594
606	2458	1591
607	2465	1589
608	2473	1587
609	2479	1585
610	2484	1581
611	2489	1578
612	2493	1574
613	2498	1570
614	2504	1568
615	2511	1565
616	2517	1562
617	2523	1559
618	2528	1556
619	2534	1553
620	2539	1549
621	2545	1546
622	2549	1543
623	2554	1539
624	2558	1534
625	2561	1530
626	2565	1526
627	2570	1522
628	2573	1518
629	2577	1513
630	2580	1509
631	2584	1504
632	2587	1500
633	2591	1495
634	2594	1491
635	2599	1487
636	2602	1483
637	2606	1478
638	2609	1474
639	2613	1469
640	2617	1465
641	2620	1461
642	2624	1457
643	2628	1452
644	2631	1448
645	2634	1443
646	2638	1439
647	2641	1435
648	2645	1430
649	2649	1426
650	2653	1422
651	2656	1418
652	2660	1413
653	2663	1409
654	2666	1404
655	2670	1400
656	2674	1396
657	2678	1391
658	2681	1387
659	2684	1383
660	2688	1378
661	2692	1374
662	2694	1369
663	2698	1365
664	2702	1361
665	2707	1358
666	2712	1354
667	2718	1351
668	2721	1346
669	2725	1342
670	2730	1338
671	2734	1334
672	2737	1330
673	2742	1326
674	2745	1321
675	2749	1317
676	2752	1313
677	2756	1308
678	2759	1304
679	2763	1300
680	2766	1295
681	2769	1291
682	2773	1287
683	2777	1283
684	2781	1279
685	2786	1275
686	2790	1271
687	2793	1266
688	2797	1262
689	2801	1258
690	2804	1254
691	2808	1250
692	2813	1246
693	2816	1242
694	2820	1237
695	2824	1233
696	2828	1229
697	2831	1225
698	2835	1221
699	2839	1216
700	2842	1212
701	2846	1208
702	2850	1204
703	2853	1199
704	2857	1195
705	2861	1191
706	2864	1187
707	2868	1183
708	2871	1178
709	2876	1174
710	2880	1170
711	2884	1166
712	2887	1162
713	2891	1158
714	2898	1155
715	2902	1151
716	2906	1147
717	2909	1142
718	2913	1138
719	2916	1134
720	2919	1129
721	2923	1125
722	2927	1121
723	2930	1117
724	2934	1112
725	2937	1108
726	2940	1104
727	2943	1099
728	2947	1095
729	2950	1091
730	2953	1086
731	2956	1082
732	2960	1078
733	2963	1073
734	2966	1069
735	2969	1065
736	2973	1061
737	2977	1056
738	2980	1052
739	2984	1048
740	2989	1044
741	2992	1040
742	2995	1036
743	2999	1031
744	3002	1027
745	3005	1023
746	3008	1019
747	3012	1014
748	3015	1010
749	3018	1006
750	3022	1002
751	3026	998
752	3029	993
753	3033	989
754	3036	985
755	3040	981
756	3044	977
757	3047	972
758	3050	968
759	3054	964
760	3057	960
761	3061	956
762	3064	951
763	3068	947
764	3071	943
765	3075	939
766	3078	935
767	3082	931
768	3087	927
769	3090	923
770	3096	919
771	3101	916
772	3105	911
773	3108	907
774	3112	903
775	3116	899
776	3120	895
777	3123	891
778	3127	887
779	3131	883
780	3134	878
781	3137	874
782	3140	870
783	3144	866
784	3147	862
785	3152	858
786	3158	854
787	3163	851
788	3169	847
789	3175	844
790	3180	840
791	3183	836
792	3187	832
793	3191	827
794	3195	824
795	3198	819
796	3203	815
797	3206	811
798	3211	807
799	3216	804
800	3220	800
801	3226	796
802	3230	792
803	3235	788
804	3240	784
805	3244	780
806	3248	776
807	3252	772
808	3256	768
809	3261	764
810	3265	760
811	3269	756
812	3273	752
813	3278	749
814	3282	745
815	3287	741
816	3291	737
817	3296	733
818	3300	729
819	3304	725
820	3307	721
821	3310	716
822	3313	712
823	3316	708
824	3320	704
825	3323	700
826	3326	695
827	3329	691
828	3333	687
829	3336	683
830	3339	679
831	3342	674
832	3345	670
833	3349	666
834	3353	662
835	3356	658
836	3360	654
837	3364	650
838	3368	646
839	3372	642
840	3376	638
841	3379	634
842	3383	630
843	3386	625
844	3389	621
845	3392	617
846	3395	613
847	3399	609
848	3402	605
849	3406	601
850	3409	596
851	3412	592
852	3416	588
853	3420	584
854	3423	580
855	3427	576
856	3430	572
857	3434	568
858	3437	564
859	3440	560
860	3443	555
861	3447	551
862	3451	547
863	3454	543
864	3458	539
865	3461	535
866	3464	531
867	3468	527
868	3472	523
869	3476	519
870	3480	515
871	3485	511
872	3488	507
873	3492	503
874	3496	499
875	3500	495
876	3503	491
877	3507	487
878	3511	483
879	3514	479
880	3518	475
881	3522	471
882	3525	467
883	3529	463
884	3533	459
885	3536	455
886	3541	451
887	3544	447
888	3548	443
889	3552	439
890	3556	435
891	3559	430
892	3563	426
893	3566	422
894	3570	418
895	3574	414
896	3578	410
897	3581	406
898	3584	402
899	3588	398
900	3591	394
901	3594	390
902	3598	386
903	3601	382
904	3605	378
905	3608	374
906	3611	370
907	3615	366
908	3618	362
909	3622	358
910	3625	354
911	3628	350
912	3631	346
913	3635	342
914	3639	338
915	3642	334
916	3645	329
917	3648	325
918	3652	321
919	3656	317
920	3659	313
921	3662	309
922	3667	305
923	3670	301
924	3673	297
925	3676	293
926	3680	289
927	3684	285
928	3688	281
929	3692	277
930	3695	273
931	3699	269
932	3703	265
933	3706	261
934	3709	257
935	3712	253
936	3715	249
937	3719	245
938	3722	241
939	3725	237
940	3729	233
941	3732	229
942	3735	225
943	3738	221
944	3742	217
945	3745	213
946	3748	209
947	3751	205
948	3755	201
949	3758	197
950	3761	193
951	3764	189
952	3768	185
953	3771	181
954	3774	177
955	3777	173
956	3781	169
957	3784	165
958	3787	161
959	3791	157
960	3794	154
961	3798	150
962	3801	146
963	3804	142
964	3807	138
965	3811	134
966	3814	130
967	3817	126
968	3820	122
969	3824	118
970	3828	114
971	3831	110
972	3835	106
973	3838	102
974	3843	98
975	3847	94
976	3851	90
977	3856	86
978	3859	82
979	3862	78
980	3866	74
981	3869	70
982	3873	66
983	3877	63
984	3881	59
985	3885	55
986	3888	51
987	3893	47
988	3896	43
989	3899	39
990	3903	35
991	3906	31
992	3909	27
993	3913	23
994	3916	19
995	3920	15
996	3923	11
997	3926	7
998	3930	3
999	3936	0
